metric,iteration,classifier,adjuster,dataset,p_column,c_column,c_value,value
mutual_info_score,6,RandomForest,limma,gse20194,meta_batch,None,None,0.793089
mutual_info_score,7,RandomForest,limma,gse20194,meta_batch,None,None,0.847296
mutual_info_score,8,RandomForest,limma,gse20194,meta_batch,None,None,0.95543
mutual_info_score,9,RandomForest,limma,gse20194,meta_batch,None,None,0.933858
accuracy_score,0,RandomForest,limma,gse20194,meta_batch,None,None,0.973684
accuracy_score,1,RandomForest,limma,gse20194,meta_batch,None,None,0.969298
accuracy_score,2,RandomForest,limma,gse20194,meta_batch,None,None,0.991228
accuracy_score,3,RandomForest,limma,gse20194,meta_batch,None,None,0.986842
accuracy_score,4,RandomForest,limma,gse20194,meta_batch,None,None,0.964912
accuracy_score,5,RandomForest,limma,gse20194,meta_batch,None,None,0.982456
accuracy_score,6,RandomForest,limma,gse20194,meta_batch,None,None,0.964912
accuracy_score,7,RandomForest,limma,gse20194,meta_batch,None,None,0.973684
accuracy_score,8,RandomForest,limma,gse20194,meta_batch,None,None,0.995614
accuracy_score,9,RandomForest,limma,gse20194,meta_batch,None,None,0.991228
roc_auc_score,0,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.998119
roc_auc_score,1,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.996229
roc_auc_score,2,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.997886
roc_auc_score,3,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.995513
roc_auc_score,4,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.996218
roc_auc_score,5,HistGradientBoosting,limma,gse20194,meta_batch,None,None,1.0
roc_auc_score,6,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.998121
roc_auc_score,7,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.999765
roc_auc_score,8,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.994597
roc_auc_score,9,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.997414
mutual_info_score,0,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.879242
mutual_info_score,1,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.876956
mutual_info_score,2,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.80235
mutual_info_score,3,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.761718
mutual_info_score,4,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.850555
mutual_info_score,5,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.898528
mutual_info_score,6,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.906922
mutual_info_score,7,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.879092
mutual_info_score,8,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.734622
mutual_info_score,9,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.748197
accuracy_score,0,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.982456
accuracy_score,1,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.982456
accuracy_score,2,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.969298
accuracy_score,3,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.960526
accuracy_score,4,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.969298
accuracy_score,5,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.986842
accuracy_score,6,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.986842
accuracy_score,7,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.982456
accuracy_score,8,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.942982
accuracy_score,9,HistGradientBoosting,limma,gse20194,meta_batch,None,None,0.95614
roc_auc_score,0,RandomForest,limma_target,gse20194,meta_batch,None,None,1.0
roc_auc_score,1,RandomForest,limma_target,gse20194,meta_batch,None,None,0.999765
roc_auc_score,2,RandomForest,limma_target,gse20194,meta_batch,None,None,0.999763
roc_auc_score,3,RandomForest,limma_target,gse20194,meta_batch,None,None,0.999763
roc_auc_score,4,RandomForest,limma_target,gse20194,meta_batch,None,None,0.999056
roc_auc_score,5,RandomForest,limma_target,gse20194,meta_batch,None,None,0.999883
roc_auc_score,6,RandomForest,limma_target,gse20194,meta_batch,None,None,0.999883
roc_auc_score,7,RandomForest,limma_target,gse20194,meta_batch,None,None,1.0
roc_auc_score,8,RandomForest,limma_target,gse20194,meta_batch,None,None,1.0
roc_auc_score,9,RandomForest,limma_target,gse20194,meta_batch,None,None,1.0
mutual_info_score,0,RandomForest,limma_target,gse20194,meta_batch,None,None,0.915457
mutual_info_score,1,RandomForest,limma_target,gse20194,meta_batch,None,None,0.838175
mutual_info_score,2,RandomForest,limma_target,gse20194,meta_batch,None,None,0.894886
mutual_info_score,3,RandomForest,limma_target,gse20194,meta_batch,None,None,0.933574
mutual_info_score,4,RandomForest,limma_target,gse20194,meta_batch,None,None,0.884835
mutual_info_score,5,RandomForest,limma_target,gse20194,meta_batch,None,None,0.925086
mutual_info_score,6,RandomForest,limma_target,gse20194,meta_batch,None,None,0.844861
mutual_info_score,7,RandomForest,limma_target,gse20194,meta_batch,None,None,0.863685
mutual_info_score,8,RandomForest,limma_target,gse20194,meta_batch,None,None,0.8332
mutual_info_score,9,RandomForest,limma_target,gse20194,meta_batch,None,None,0.8634
accuracy_score,0,RandomForest,limma_target,gse20194,meta_batch,None,None,0.986842
accuracy_score,1,RandomForest,limma_target,gse20194,meta_batch,None,None,0.973684
accuracy_score,2,RandomForest,limma_target,gse20194,meta_batch,None,None,0.986842
accuracy_score,3,RandomForest,limma_target,gse20194,meta_batch,None,None,0.991228
accuracy_score,4,RandomForest,limma_target,gse20194,meta_batch,None,None,0.982456
accuracy_score,5,RandomForest,limma_target,gse20194,meta_batch,None,None,0.991228
accuracy_score,6,RandomForest,limma_target,gse20194,meta_batch,None,None,0.973684
accuracy_score,7,RandomForest,limma_target,gse20194,meta_batch,None,None,0.97807
accuracy_score,8,RandomForest,limma_target,gse20194,meta_batch,None,None,0.973684
accuracy_score,9,RandomForest,limma_target,gse20194,meta_batch,None,None,0.97807
roc_auc_score,0,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.996232
roc_auc_score,1,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.999295
roc_auc_score,2,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.997179
roc_auc_score,3,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.994575
roc_auc_score,4,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.997886
roc_auc_score,5,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.998121
roc_auc_score,6,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.998356
roc_auc_score,7,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.997886
roc_auc_score,8,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.996711
roc_auc_score,9,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.998121
mutual_info_score,0,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.81904
mutual_info_score,1,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.898528
mutual_info_score,2,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.812297
mutual_info_score,3,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.84776
mutual_info_score,4,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.801059
mutual_info_score,5,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.828151
mutual_info_score,6,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.878567
mutual_info_score,7,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.905434
mutual_info_score,8,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.807739
mutual_info_score,9,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.782725
accuracy_score,0,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.973684
accuracy_score,1,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.986842
accuracy_score,2,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.969298
accuracy_score,3,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.973684
accuracy_score,4,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.969298
accuracy_score,5,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.973684
accuracy_score,6,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.982456
accuracy_score,7,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.982456
accuracy_score,8,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.964912
accuracy_score,9,HistGradientBoosting,limma_target,gse20194,meta_batch,None,None,0.964912
roc_auc_score,0,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.98085
roc_auc_score,1,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.982852
roc_auc_score,2,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.98566
roc_auc_score,3,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.984325
roc_auc_score,4,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.981176
roc_auc_score,5,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.984574
roc_auc_score,6,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.985461
roc_auc_score,7,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.979488
roc_auc_score,8,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.984699
roc_auc_score,9,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.98788
mutual_info_score,0,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.63707
mutual_info_score,1,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.724027
mutual_info_score,2,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.760656
mutual_info_score,3,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.62279
mutual_info_score,4,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.666978
mutual_info_score,5,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.719152
mutual_info_score,6,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.647709
mutual_info_score,7,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.66463
mutual_info_score,8,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.677806
mutual_info_score,9,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.707538
accuracy_score,0,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.929825
accuracy_score,1,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.951754
accuracy_score,2,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.960526
accuracy_score,3,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.925439
accuracy_score,4,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.938596
accuracy_score,5,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.951754
accuracy_score,6,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.929825
accuracy_score,7,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.934211
accuracy_score,8,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.942982
accuracy_score,9,RandomForest,unadjusted,gse20194,meta_batch,None,None,0.947368
roc_auc_score,0,RandomForest,combat,gse20194,meta_batch,None,None,0.799788
roc_auc_score,1,RandomForest,combat,gse20194,meta_batch,None,None,0.768983
roc_auc_score,2,RandomForest,combat,gse20194,meta_batch,None,None,0.83548
roc_auc_score,3,RandomForest,combat,gse20194,meta_batch,None,None,0.800682
roc_auc_score,4,RandomForest,combat,gse20194,meta_batch,None,None,0.775347
roc_auc_score,5,RandomForest,combat,gse20194,meta_batch,None,None,0.817787
roc_auc_score,6,RandomForest,combat,gse20194,meta_batch,None,None,0.837901
roc_auc_score,7,RandomForest,combat,gse20194,meta_batch,None,None,0.796932
roc_auc_score,8,RandomForest,combat,gse20194,meta_batch,None,None,0.776578
roc_auc_score,9,RandomForest,combat,gse20194,meta_batch,None,None,0.826701
mutual_info_score,0,RandomForest,combat,gse20194,meta_batch,None,None,0.083018
mutual_info_score,1,RandomForest,combat,gse20194,meta_batch,None,None,0.113992
mutual_info_score,2,RandomForest,combat,gse20194,meta_batch,None,None,0.180246
mutual_info_score,3,RandomForest,combat,gse20194,meta_batch,None,None,0.133479
mutual_info_score,4,RandomForest,combat,gse20194,meta_batch,None,None,0.12449
mutual_info_score,5,RandomForest,combat,gse20194,meta_batch,None,None,0.152027
mutual_info_score,6,RandomForest,combat,gse20194,meta_batch,None,None,0.122694
mutual_info_score,7,RandomForest,combat,gse20194,meta_batch,None,None,0.096036
mutual_info_score,8,RandomForest,combat,gse20194,meta_batch,None,None,0.095728
mutual_info_score,9,RandomForest,combat,gse20194,meta_batch,None,None,0.170177
accuracy_score,0,RandomForest,combat,gse20194,meta_batch,None,None,0.666667
accuracy_score,1,RandomForest,combat,gse20194,meta_batch,None,None,0.684211
accuracy_score,2,RandomForest,combat,gse20194,meta_batch,None,None,0.736842
accuracy_score,3,RandomForest,combat,gse20194,meta_batch,None,None,0.701754
accuracy_score,4,RandomForest,combat,gse20194,meta_batch,None,None,0.679825
accuracy_score,5,RandomForest,combat,gse20194,meta_batch,None,None,0.714912
accuracy_score,6,RandomForest,combat,gse20194,meta_batch,None,None,0.701754
accuracy_score,7,RandomForest,combat,gse20194,meta_batch,None,None,0.679825
accuracy_score,8,RandomForest,combat,gse20194,meta_batch,None,None,0.684211
accuracy_score,9,RandomForest,combat,gse20194,meta_batch,None,None,0.732456
roc_auc_score,0,RandomForest,combat,gse20194,meta_batch,None,None,0.799788
roc_auc_score,1,RandomForest,combat,gse20194,meta_batch,None,None,0.768983
roc_auc_score,2,RandomForest,combat,gse20194,meta_batch,None,None,0.83548
roc_auc_score,3,RandomForest,combat,gse20194,meta_batch,None,None,0.800682
roc_auc_score,4,RandomForest,combat,gse20194,meta_batch,None,None,0.775347
roc_auc_score,5,RandomForest,combat,gse20194,meta_batch,None,None,0.817787
roc_auc_score,6,RandomForest,combat,gse20194,meta_batch,None,None,0.837901
roc_auc_score,7,RandomForest,combat,gse20194,meta_batch,None,None,0.796932
roc_auc_score,8,RandomForest,combat,gse20194,meta_batch,None,None,0.776578
roc_auc_score,9,RandomForest,combat,gse20194,meta_batch,None,None,0.826701
mutual_info_score,0,RandomForest,combat,gse20194,meta_batch,None,None,0.083018
mutual_info_score,1,RandomForest,combat,gse20194,meta_batch,None,None,0.113992
mutual_info_score,2,RandomForest,combat,gse20194,meta_batch,None,None,0.180246
mutual_info_score,3,RandomForest,combat,gse20194,meta_batch,None,None,0.133479
mutual_info_score,4,RandomForest,combat,gse20194,meta_batch,None,None,0.12449
mutual_info_score,5,RandomForest,combat,gse20194,meta_batch,None,None,0.152027
mutual_info_score,6,RandomForest,combat,gse20194,meta_batch,None,None,0.122694
mutual_info_score,7,RandomForest,combat,gse20194,meta_batch,None,None,0.096036
mutual_info_score,8,RandomForest,combat,gse20194,meta_batch,None,None,0.095728
mutual_info_score,9,RandomForest,combat,gse20194,meta_batch,None,None,0.170177
accuracy_score,0,RandomForest,combat,gse20194,meta_batch,None,None,0.666667
accuracy_score,1,RandomForest,combat,gse20194,meta_batch,None,None,0.684211
accuracy_score,2,RandomForest,combat,gse20194,meta_batch,None,None,0.736842
accuracy_score,3,RandomForest,combat,gse20194,meta_batch,None,None,0.701754
accuracy_score,4,RandomForest,combat,gse20194,meta_batch,None,None,0.679825
accuracy_score,5,RandomForest,combat,gse20194,meta_batch,None,None,0.714912
accuracy_score,6,RandomForest,combat,gse20194,meta_batch,None,None,0.701754
accuracy_score,7,RandomForest,combat,gse20194,meta_batch,None,None,0.679825
accuracy_score,8,RandomForest,combat,gse20194,meta_batch,None,None,0.684211
accuracy_score,9,RandomForest,combat,gse20194,meta_batch,None,None,0.732456
roc_auc_score,0,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.972439
roc_auc_score,1,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.960706
roc_auc_score,2,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.96875
roc_auc_score,3,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.970824
roc_auc_score,4,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.959664
roc_auc_score,5,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.964924
roc_auc_score,6,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.958737
roc_auc_score,7,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.958766
roc_auc_score,8,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.974076
roc_auc_score,9,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.979519
mutual_info_score,0,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.629154
mutual_info_score,1,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.560633
mutual_info_score,2,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.629783
mutual_info_score,3,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.576967
mutual_info_score,4,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.45899
mutual_info_score,5,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.597957
mutual_info_score,6,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.564386
mutual_info_score,7,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.528343
mutual_info_score,8,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.548402
mutual_info_score,9,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.60485
accuracy_score,0,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.921053
accuracy_score,1,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.907895
accuracy_score,2,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.929825
accuracy_score,3,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.912281
accuracy_score,4,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.868421
accuracy_score,5,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.916667
accuracy_score,6,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.912281
accuracy_score,7,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.899123
accuracy_score,8,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.903509
accuracy_score,9,HistGradientBoosting,combat,gse20194,meta_batch,None,None,0.921053
roc_auc_score,0,RandomForest,combat_target,gse20194,meta_batch,None,None,0.812619
roc_auc_score,1,RandomForest,combat_target,gse20194,meta_batch,None,None,0.825367
roc_auc_score,2,RandomForest,combat_target,gse20194,meta_batch,None,None,0.857108
roc_auc_score,3,RandomForest,combat_target,gse20194,meta_batch,None,None,0.850692
roc_auc_score,4,RandomForest,combat_target,gse20194,meta_batch,None,None,0.842847
roc_auc_score,5,RandomForest,combat_target,gse20194,meta_batch,None,None,0.876601
roc_auc_score,6,RandomForest,combat_target,gse20194,meta_batch,None,None,0.870339
roc_auc_score,7,RandomForest,combat_target,gse20194,meta_batch,None,None,0.822778
roc_auc_score,8,RandomForest,combat_target,gse20194,meta_batch,None,None,0.840135
roc_auc_score,9,RandomForest,combat_target,gse20194,meta_batch,None,None,0.887837
mutual_info_score,0,RandomForest,combat_target,gse20194,meta_batch,None,None,0.1099
mutual_info_score,1,RandomForest,combat_target,gse20194,meta_batch,None,None,0.111147
mutual_info_score,2,RandomForest,combat_target,gse20194,meta_batch,None,None,0.1494
mutual_info_score,3,RandomForest,combat_target,gse20194,meta_batch,None,None,0.138175
mutual_info_score,4,RandomForest,combat_target,gse20194,meta_batch,None,None,0.213512
mutual_info_score,5,RandomForest,combat_target,gse20194,meta_batch,None,None,0.200572
mutual_info_score,6,RandomForest,combat_target,gse20194,meta_batch,None,None,0.187144
mutual_info_score,7,RandomForest,combat_target,gse20194,meta_batch,None,None,0.125726
mutual_info_score,8,RandomForest,combat_target,gse20194,meta_batch,None,None,0.213631
mutual_info_score,9,RandomForest,combat_target,gse20194,meta_batch,None,None,0.212812
accuracy_score,0,RandomForest,combat_target,gse20194,meta_batch,None,None,0.697368
accuracy_score,1,RandomForest,combat_target,gse20194,meta_batch,None,None,0.692982
accuracy_score,2,RandomForest,combat_target,gse20194,meta_batch,None,None,0.719298
accuracy_score,3,RandomForest,combat_target,gse20194,meta_batch,None,None,0.714912
accuracy_score,4,RandomForest,combat_target,gse20194,meta_batch,None,None,0.754386
accuracy_score,5,RandomForest,combat_target,gse20194,meta_batch,None,None,0.741228
accuracy_score,6,RandomForest,combat_target,gse20194,meta_batch,None,None,0.741228
accuracy_score,7,RandomForest,combat_target,gse20194,meta_batch,None,None,0.70614
accuracy_score,8,RandomForest,combat_target,gse20194,meta_batch,None,None,0.75
accuracy_score,9,RandomForest,combat_target,gse20194,meta_batch,None,None,0.745614
roc_auc_score,0,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.965133
roc_auc_score,1,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.974821
roc_auc_score,2,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.962613
roc_auc_score,3,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.969879
roc_auc_score,4,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.95162
roc_auc_score,5,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.978266
roc_auc_score,6,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.953323
roc_auc_score,7,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.968433
roc_auc_score,8,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.96922
roc_auc_score,9,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.965614
mutual_info_score,0,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.60369
mutual_info_score,1,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.517358
mutual_info_score,2,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.628835
mutual_info_score,3,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.663861
mutual_info_score,4,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.509364
mutual_info_score,5,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.65208
mutual_info_score,6,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.53283
mutual_info_score,7,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.581135
mutual_info_score,8,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.628063
mutual_info_score,9,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.602648
accuracy_score,0,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.921053
accuracy_score,1,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.899123
accuracy_score,2,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.916667
accuracy_score,3,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.938596
accuracy_score,4,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.890351
accuracy_score,5,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.934211
accuracy_score,6,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.899123
accuracy_score,7,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.916667
accuracy_score,8,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.921053
accuracy_score,9,HistGradientBoosting,combat_target,gse20194,meta_batch,None,None,0.916667
roc_auc_score,0,RandomForest,npn,gse20194,meta_batch,None,None,0.078837
roc_auc_score,1,RandomForest,npn,gse20194,meta_batch,None,None,0.085615
roc_auc_score,2,RandomForest,npn,gse20194,meta_batch,None,None,0.087318
roc_auc_score,3,RandomForest,npn,gse20194,meta_batch,None,None,0.092482
roc_auc_score,4,RandomForest,npn,gse20194,meta_batch,None,None,0.054645
roc_auc_score,5,RandomForest,npn,gse20194,meta_batch,None,None,0.094687
roc_auc_score,6,RandomForest,npn,gse20194,meta_batch,None,None,0.08716
roc_auc_score,7,RandomForest,npn,gse20194,meta_batch,None,None,0.050811
roc_auc_score,8,RandomForest,npn,gse20194,meta_batch,None,None,0.067661
roc_auc_score,9,RandomForest,npn,gse20194,meta_batch,None,None,0.064688
mutual_info_score,0,RandomForest,npn,gse20194,meta_batch,None,None,0.218003
mutual_info_score,1,RandomForest,npn,gse20194,meta_batch,None,None,0.249832
mutual_info_score,2,RandomForest,npn,gse20194,meta_batch,None,None,0.226334
mutual_info_score,3,RandomForest,npn,gse20194,meta_batch,None,None,0.141065
mutual_info_score,4,RandomForest,npn,gse20194,meta_batch,None,None,0.249403
mutual_info_score,5,RandomForest,npn,gse20194,meta_batch,None,None,0.205978
mutual_info_score,6,RandomForest,npn,gse20194,meta_batch,None,None,0.161328
mutual_info_score,7,RandomForest,npn,gse20194,meta_batch,None,None,0.267873
mutual_info_score,8,RandomForest,npn,gse20194,meta_batch,None,None,0.209992
mutual_info_score,9,RandomForest,npn,gse20194,meta_batch,None,None,0.183087
accuracy_score,0,RandomForest,npn,gse20194,meta_batch,None,None,0.324561
accuracy_score,1,RandomForest,npn,gse20194,meta_batch,None,None,0.29386
accuracy_score,2,RandomForest,npn,gse20194,meta_batch,None,None,0.289474
accuracy_score,3,RandomForest,npn,gse20194,meta_batch,None,None,0.372807
accuracy_score,4,RandomForest,npn,gse20194,meta_batch,None,None,0.320175
accuracy_score,5,RandomForest,npn,gse20194,meta_batch,None,None,0.342105
accuracy_score,6,RandomForest,npn,gse20194,meta_batch,None,None,0.359649
accuracy_score,7,RandomForest,npn,gse20194,meta_batch,None,None,0.285088
accuracy_score,8,RandomForest,npn,gse20194,meta_batch,None,None,0.337719
accuracy_score,9,RandomForest,npn,gse20194,meta_batch,None,None,0.346491
roc_auc_score,0,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.806726
roc_auc_score,1,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.798116
roc_auc_score,2,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.830841
roc_auc_score,3,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.784056
roc_auc_score,4,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.80326
roc_auc_score,5,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.828863
roc_auc_score,6,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.854145
roc_auc_score,7,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.793851
roc_auc_score,8,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.804141
roc_auc_score,9,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.807365
mutual_info_score,0,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.282953
mutual_info_score,1,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.389559
mutual_info_score,2,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.357933
mutual_info_score,3,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.29691
mutual_info_score,4,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.342254
mutual_info_score,5,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.370402
mutual_info_score,6,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.400167
mutual_info_score,7,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.290274
mutual_info_score,8,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.390633
mutual_info_score,9,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.292633
accuracy_score,0,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.807018
accuracy_score,1,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.846491
accuracy_score,2,HistGradientBoosting,npn,gse20194,meta_batch,None,None,0.833333
